,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,min_child_samples,num_leaves,random_state,_number
84,84,TrialState.COMPLETE,0.8229558179098495,2020-01-01 13:18:42.309348,2020-01-01 13:19:50.054381,0.569649411900384,2,0.7465722018624735,1.7145234347522689,2.123633103806562e-07,8,196,57,84
85,85,TrialState.COMPLETE,0.8191744865684798,2020-01-01 13:19:50.058419,2020-01-01 13:20:47.506308,0.5701751649711627,2,0.7430942453829691,1.5867105682451856,2.354805059047795e-07,15,222,51,85
86,86,TrialState.COMPLETE,0.8146757075028825,2020-01-01 13:20:47.517111,2020-01-01 13:22:11.713060,0.5016163134481655,3,0.6953553029482132,0.16405601408278536,1.1701649357693096e-06,8,190,56,86
87,87,TrialState.COMPLETE,0.8200750321222368,2020-01-01 13:22:11.716841,2020-01-01 13:23:24.265957,0.549711752688108,2,0.6638978390966679,0.4709161191833123,4.212699374791185e-07,10,201,3,87
88,88,TrialState.COMPLETE,0.8106208572076812,2020-01-01 13:23:24.269934,2020-01-01 13:24:19.189903,0.6115032534468265,3,0.7232951261972855,6.216786117655604,1.1720902780525794e-07,14,215,58,88
89,89,TrialState.COMPLETE,0.788795622889939,2020-01-01 13:24:19.193951,2020-01-01 13:25:12.262469,0.4647367932742663,2,0.7402870818899934,0.08258500603396565,3.968210252826622e-06,24,195,61,89
90,90,TrialState.COMPLETE,0.8193518843114049,2020-01-01 13:25:12.267013,2020-01-01 13:26:39.181203,0.7373066225331149,2,0.7858026861105979,0.7880302074944977,6.16413649647679e-05,7,206,65,90
91,91,TrialState.COMPLETE,0.820739665388922,2020-01-01 13:26:39.185280,2020-01-01 13:27:55.183005,0.5762856577740083,1,0.8194385549841754,3.9253727965748597,2.8434018535643745e-08,5,168,63,91
92,92,TrialState.COMPLETE,0.8234290720837105,2020-01-01 13:27:55.186883,2020-01-01 13:29:12.482514,0.9306442022687371,1,0.7552528223245686,1.3988864280067654,4.139436197670184e-08,10,178,73,92
93,93,TrialState.COMPLETE,0.7332454122610392,2020-01-01 13:29:12.486301,2020-01-01 13:30:01.020184,0.7597552804231287,1,0.7632661211779102,1.8503126209423992,4.1716420764376484e-08,99,181,73,93
94,94,TrialState.COMPLETE,0.8204944019846666,2020-01-01 13:30:01.024457,2020-01-01 13:31:16.505330,0.9327138887013054,1,0.7527043016835718,1.285882163133826,1.8882114831111534e-07,11,189,80,94
95,95,TrialState.COMPLETE,0.8219864799236266,2020-01-01 13:31:16.509226,2020-01-01 13:32:14.583354,0.9246514657941883,2,0.7030143162717544,2.5241045331294227,8.048205053424095e-08,19,175,73,95
96,96,TrialState.COMPLETE,0.8144429428320186,2020-01-01 13:32:14.589406,2020-01-01 13:33:58.703907,0.9015315363005382,1,0.7788925704083476,0.21865285389791292,6.517269734199614e-07,9,198,60,96
97,97,TrialState.COMPLETE,0.8174912448752728,2020-01-01 13:33:58.707774,2020-01-01 13:35:11.963130,0.9868730617586793,6,0.7336997270286953,0.36936400410189596,1.8501866856207286e-08,17,160,76,97
98,98,TrialState.COMPLETE,0.8190064699924464,2020-01-01 13:35:11.967396,2020-01-01 13:36:29.129238,0.8898118226161171,2,0.7902311589215162,0.6873602229327781,3.341857641343521e-07,13,210,66,98
99,99,TrialState.COMPLETE,0.8203379136564177,2020-01-01 13:36:29.133122,2020-01-01 13:37:54.091852,0.8343672336186481,1,0.8060599356548003,1.3657985184340746,1.6620408479546472e-07,7,222,69,99
